baseline,n_patients,mean_gt_cosine,gt_ci95_low,gt_ci95_high,t_p_greater0,wilcoxon_p_greater0,within_div_centroid,within_centroid_ci95_low,within_centroid_ci95_high,within_div_pairwise,within_pairwise_ci95_low,within_pairwise_ci95_high,avg_n_gen_sents,n_questions,avg_n_answers_per_question,question_div_centroid,question_centroid_ci95_low,question_centroid_ci95_high,question_div_pairwise,question_pairwise_ci95_low,question_pairwise_ci95_high,t_p_fdr,wilcoxon_p_fdr
G5,215,,,,,,,,,,,,62.0,62,215.0,0.05527009562619271,0.04924263203696859,0.06140810097567737,0.1072123545792795,0.09585368302500537,0.11874665976802429,1.0,1.0
G2,215,,,,,,,,,,,,62.0,62,215.0,0.05166238408175207,0.045566118369630024,0.05803227242638147,0.10048639239563097,0.08896970046654103,0.11237608549755908,1.0,1.0
G1,215,,,,,,,,,,,,62.0,62,215.0,0.05061562803964461,0.04535163137611122,0.05618847082444137,0.09861399143213226,0.08871062613062321,0.10893373288845103,1.0,1.0
G6,215,,,,,,,,,,,,62.0,62,215.0,0.04977648912538444,0.043610850430934905,0.05630448192297932,0.09680649593111969,0.08515236129413449,0.10902229936402892,1.0,1.0
G0,215,,,,,,,,,,,,62.0,62,215.0,0.04778969053539538,0.04285887583504401,0.05290682401297794,0.0932781889193481,0.08398558107174693,0.10283392054299192,1.0,1.0
G7,215,,,,,,,,,,,,62.0,62,215.0,0.04610181341488515,0.03996093252733831,0.05235721316383851,0.08975265469522245,0.07818697267362187,0.10145753170814245,1.0,1.0
EEYORE,150,,,,,,,,,,,,62.0,62,150.0,0.028469310848102454,0.023895236808100656,0.03352409969722372,0.056129196899071816,0.047305312604763575,0.06581985962787464,1.0,1.0
CMP,106,,,,,,,,,,,,47.0,47,106.0,0.02602165633257716,0.020671172810847217,0.03206516199205269,0.0514269276680623,0.04105407915603212,0.06318484476415759,1.0,1.0
G4,0,,,,,,,,,,,,,0,,,,,,,,1.0,1.0
G3,0,,,,,,,,,,,,,0,,,,,,,,1.0,1.0
